"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"5400","91/11-09-031-19W3/0","191110903119W300",51.6441479,-108.653158,713.55,1590,2015-05-24,2015-03-06,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5401","91/11-25-030-22W3/0","191112503022W300",51.6008362,-108.9830896,679.94,1526,2010-10-07,2010-09-11,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5402","91/11-28-030-22W3/0","191112803022W300",51.6009232,-109.0533289,700.36,1550,2011-09-14,2011-08-05,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5403","91/11-30-030-21W3/0","191113003021W300",51.6031136,-108.9579688,673.24,1506,2011-03-14,2011-02-26,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5404","91/07-34-032-20W3/0","191073403220W300",51.7775893,-108.7528655,637.24,1523,2015-06-27,2015-06-18,"Horizontal","PLENTY VIKING SAND","TEINE ENERGY LTD."
"5405","91/13-02-026-19W3/0","191130202619W300",51.195471,-108.5478699,688.84,1434,2015-11-22,2015-11-02,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
"5406","91/08-04-033-19W3/0","191080403319W300",51.7971643,-108.639773,607.9,1409,2015-10-28,2015-10-10,"Horizontal","PLENTY VIKING SAND","STEELHEAD PETROLEUM LTD."
"5407","91/09-21-029-21W3/0","191092102921W300",51.5053825,-108.889377,742.91,1494,2014-11-02,2014-10-20,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5408","91/08-06-030-25W3/0","191080603025W300",51.5318958,-109.4988305,740.05,1503.9,2013-10-23,2013-09-15,"Horizontal","WHITESIDE VIKING","TAMARACK ACQUISITION CORP."
"5409","91/08-14-031-20W3/0","191081403120W300",51.6514761,-108.7372168,691.93,1625,2015-11-24,2015-09-27,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5410","91/08-18-032-27W3/0","191081803227W300",51.7510505,-109.8099252,736.35,1917,2014-09-01,2014-07-31,"Horizontal","VIKING SAND","TAMARACK ACQUISITION CORP."
"5411","91/08-20-029-21W3/0","191082002921W300",51.4943597,-108.9233681,734.28,1478.5,2015-11-03,2015-10-18,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5412","91/08-24-029-22W3/0","191082402922W300",51.4882396,-108.9593694,748.9,1471,2015-07-26,2015-07-12,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5413","91/10-26-033-23W3/0","191102603323W300",51.8612706,-109.1440144,698.45,1413.2,2013-02-04,2013-01-21,"Horizontal","KERROBERT VIKING","RAGING RIVER EXPLORATION INC."
"5414","91/08-20-030-20W3/0","191082003020W300",51.5756385,-108.7718448,706.4,1438,2014-12-07,2014-11-02,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"5415","91/08-25-031-20W3/0","191082503120W300",51.6845088,-108.7094153,702.03,1400,2014-10-25,2014-10-14,"Horizontal","DODSLAND VIKING","SPARTAN ENERGY CORP."
"5416","91/09-22-032-28W3/0","191092203228W300",51.7664968,-109.8816458,723.44,1488.5,2015-07-22,2015-02-17,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"5417","91/08-27-029-21W3/0","191082702921W300",51.5024781,-108.8669237,745.02,1504.5,2015-11-21,2015-10-22,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"5418","91/08-27-030-23W3/0","191082703023W300",51.5893845,-109.147419,725.2,1535,2011-10-26,2011-08-11,"Horizontal","LUCKY HILLS VIKING","SPARTAN ENERGY CORP."
"5419","91/08-27-031-23W3/0","191082703123W300",51.6758132,-109.1707017,712.51,1493,2014-12-20,2014-11-22,"Horizontal","EUREKA VIKING","TAMARACK ACQUISITION CORP."
"5420","91/08-28-030-23W3/0","191082803023W300",51.597726,-109.1819225,702.14,1478,2011-10-28,2011-09-21,"Horizontal","LUCKY HILLS VIKING","WHITECAP RESOURCES INC."
"5421","91/08-33-030-20W3/0","191083303020W300",51.6049387,-108.7466811,706.54,1433,2014-08-16,2014-08-08,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5422","91/08-34-030-20W3/0","191083403020W300",51.6123019,-108.7374492,702.83,1525,2014-12-02,2014-11-26,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5423","91/08-34-033-26W3/0","191083403326W300",51.8655821,-109.5965074,716.35,1514,2010-12-11,2010-11-15,"Horizontal","VIKING SAND","TEINE ENERGY LTD."
"5424","91/08-36-030-20W3/0","191083603020W300",51.6109759,-108.6897338,708.38,1535,2013-11-18,2013-09-29,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5425","91/11-23-030-22W3/0","191112303022W300",51.5884428,-109.004259,699.76,1463,2011-03-11,2011-02-23,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5426","91/11-24-030-22W3/0","191112403022W300",51.5871877,-108.9818475,689.7,1434,2010-08-17,2010-07-04,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5427","91/08-34-032-19W3/0","191083403219W300",51.7852289,-108.6162637,603.06,1445,2014-10-31,2014-10-05,"Horizontal","PLENTY VIKING SAND","TEINE ENERGY LTD."
"5428","91/10-24-032-23W3/0","191102403223W300",51.7666151,-109.1266737,666.97,1477,2015-01-18,2014-12-16,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"5429","91/10-35-031-20W3/0","191103503120W300",51.7020345,-108.7189781,651.16,1496,2015-03-02,2015-02-15,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5430","91/08-36-029-22W3/0","191083602922W300",51.5240454,-108.9706756,715.19,1485,2015-07-26,2015-06-26,"Horizontal","AVON HILL VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5431","91/09-02-026-19W3/0","191090202619W300",51.1952617,-108.5519232,678.11,1480,2015-11-26,2015-11-01,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
"5432","91/09-08-032-23W3/0","191090803223W300",51.7324211,-109.2310268,734.6,1518,2015-12-11,2015-10-29,"Horizontal","KERROBERT VIKING","NAL RESOURCES LIMITED"
"5433","91/09-09-031-19W3/0","191090903119W300",51.6428447,-108.6405456,715.27,1509,2015-11-01,2015-09-06,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5434","91/09-10-030-22W3/0","191091003022W300",51.5565777,-109.0167424,740.82,1484,2012-10-21,2012-09-24,"Horizontal","AVON HILL VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5435","91/09-14-026-19W3/0","191091402619W300",51.2284191,-108.5413964,701.65,1468,2015-09-01,2015-07-14,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
"5436","91/09-16-030-20W3/0","191091603020W300",51.5685875,-108.7585764,716.23,1473,2016-12-19,2016-11-23,"Horizontal","DODSLAND VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5437","91/09-18-029-21W3/0","191091802921W300",51.4906531,-108.9360453,743.63,1495,2014-06-26,2014-03-10,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5438","91/09-19-029-21W3/0","191091902921W300",51.4984701,-108.9474644,735.96,1521,2014-05-29,2014-03-04,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5439","91/12-21-029-24W3/0","191122102924W300",51.5052037,-109.3290241,728.72,1459.5,2016-01-14,2015-12-06,"Horizontal","WHITESIDE VIKING","RAGING RIVER EXPLORATION INC."
"5440","91/09-19-030-21W3/0","191091903021W300",51.5881823,-108.955363,678.15,1951,2011-11-07,2011-10-24,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5441","91/09-20-029-21W3/0","191092002921W300",51.4978005,-108.9233595,739.2,1461,2015-07-12,2015-06-23,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
